"Age","Attribute0","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Club","Date_of_Birth","Division","Full_Name","Hairstyle","Height_cm","League","Nation","Positions","Preferred_Foot","Rating","Squad_Number","Weight_kg","_corrupt_record","County_league"
22,"Creativity","Pace","Control","Dribbling","Flair","Work Rate","Movement","Determination","Strength","Positioning","Celta Vigo","24 July 1997","1","Emre Mor","Short","168","Super League 1","Turkey","Attacking Midfielder Right Left Centre","Left","85",NULL,"65",NULL,"GREECE"
28,"Dribbling","Positioning","Strength","Corners","Pace","Work Rate","Movement","Flair","Determination","Free Kicks","Panathinaikos","16 February 1992","1","Mattias Johansson","Short","174","Super League 1","Sweden","Defender Right","Right","83","2","66",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","16 March 1993","1","Marko Nunić","Short","184","Super League 1","Slovenia","Forward Centre","Right","79","33","81",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","19 October 1989","1","Miroslav Stoch","Bald","168","Super League 1","Slovakia","Attacking Midfielder Right Left Centre","Both","86","99","60",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","8 March 1988","1","Diego Biseswar","Afro","173","Super League 1","Suriname","Attacking Midfielder Right Left Centre","Right","85","21","72",NULL,"GREECE"
20,"Control","Aerial Ability","Movement","Positioning","Strength","Work Rate","Tackling","Composure","Marking","Passing","Olympiacos","23 March 2000","1","Svetozar Marković","Short","184","Super League 1","Serbia","Defender Centre","Right","80","15","76",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panetolikos","18 January 1995","1","Omogbolahan Gregory Ariyibi","Short","183","Super League 1","United States","Attacking Midfielder Right Left","Both","78","12","72",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","23 January 1988","1","Nikola Žižić","Short","193","Super League 1","Slovenia","Defender Centre","Right","78","16","89",NULL,"GREECE"
30,"Positioning","Concentration","Work Rate","Pace","Stamina","Leadership","Tackling","Composure","Marking","Passing","AEK Athens","16 December 1989","1","André Luís Gomes Simões","Short","186","Super League 1","Portugal","Defensive Midfielder Centre","Right","85","8","75",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","26 June 1992","1","Tal Khila","Shaved","183","Super League 1","Israel","Defender Centre","Right","78","5","73",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","13 July 1991","1","Paulo Sérgio Mota","Cropped","175","Super League 1","Portugal","Defender Right","Right","82","27","68",NULL,"GREECE"
24,"Strength","Tackling","Aggression","Work Rate","Positioning","Concentration","Leadership","Aerial Ability","Stamina","Marking","Olympiacos","11 November 1995","1","Ousseynou Ba","Short","192","Super League 1","Senegal","Defender Centre","Right","80","24","84",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","7 November 1986","1","Dmytro Chygrynskiy","Long","190","Super League 1","Ukraine","Defender Centre","Right","83","19","81",NULL,"GREECE"
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","20 July 2002","1","Žiga Laci","Short","189","Super League 1","Slovenia","Defender Centre","Right","73","15","74",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","4 January 1989","1","Hélder Filipe Oliveira Lopes","Short","179","Super League 1","Portugal","Defender Left","Left","82","3","66",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Akhmat Grozny","16 June 1995","1","Damian Szymanski","Short","181","Super League 1","Poland","Midfielder Centre","Right","82","5","70",NULL,"GREECE"
29,"Concentration","Positioning","Tackling","Crossing","Pace","Strength","Work Rate","Saving Penalties","Movement","Corners","AEK Athens","3 July 1990","1","Nenad Krstičić","Cropped","182","Super League 1","Serbia","Defensive Midfielder Centre","Left","85","6","75",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","8 February 1999","1","Christos Giousis","Short","176","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","73","71","66",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","3 November 2000","1","Giannis Sardelis","Short","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","70","51","70",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","28 December 1997","1","Konstantinos Galanopoulos","Short","172","Super League 1","Greece","Defensive Midfielder Centre","Right","83","25","72",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","20 December 2000","1","Giannis-Foivos Botos","Short","172","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","73","70","69",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","5 November 1994","1","Christos Albanis","Short","183","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","82","14","75",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","20 June 1996","1","Daniele Verde","Short","168","Super League 1","Italy","Attacking Midfielder Right Left Centre","Left","85","7","65",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","18 March 1991","1","Michalis Bakakis","Short","176","Super League 1","Greece","Defender Right Left Centre","Right","85","2","65",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","13 February 1990","1","Niklas Hult","Ponytail","173","Super League 1","Sweden","Defender Left","Left","83","23","65",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","7 April 1993","1","Giorgos Athanasiadis","Shaved","191","Super League 1","Greece","Goalkeeper","Right","80","30","84",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","6 October 1992","1","Marios Oikonomou","Medium","189","Super League 1","Greece","Defender Left Centre","Left","84","4","85",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","11 November 1997","1","Stratos Svarnas","Short","181","Super League 1","Greece","Defender Right Centre","Right","78","24","75",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","4 July 1993","1","Panagiotis Tsintotas","Short","193","Super League 1","Greece","Goalkeeper","Right","80","16","83",NULL,"GREECE"
26,"Creativity","Passing","Work Rate","Movement","Determination","Strength","Pace","Corners","Positioning","Free Kicks","AEK Athens","26 August 1993","1","Marko Livaja","Cropped","182","Super League 1","Croatia","Attacking Midfielder Centre","Right","86","10","81",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","31 August 1991","1","Petros Mantalos","Short","176","Super League 1","Greece","Midfielder Centre","Right","86","20","66",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"UD Las Palmas","28 January 1992","1","Sergio Ezequiel Araújo","Short","178","Super League 1","Argentina","Forward Left Centre","Right","85","11","75",NULL,"GREECE"
28,"Finishing","Long Shots","Pace","Strength","Corners","Work Rate","Positioning","Determination","Movement","Flair","AEK Athens","8 August 1991","1","Nélson Miguel Castro Oliveira","Short","186","Super League 1","Portugal","Forward Centre","Right","85","18","82",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","30 May 1994","1","Vasilios Barkas","Short","196","Super League 1","Greece","Goalkeeper","Right","85","1","85",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"RSC Anderlecht","24 October 1989","1","Ognjen Vranješ","Shaved","185","Super League 1","Bosnia & Herzegovina","Defender Right Centre","Right","84","21","85",NULL,"GREECE"
29,"Leadership","Pace","Strength","Work Rate","Positioning","Creativity","Determination","Movement","Corners","Flair","AE Larissa","1 June 1990","1","Stefan Živković","Short","184","Super League 1","Serbia","Defender Left","Left","80","30","74",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","18 August 1988","1","Aleksandar Gojković","Short","183","Super League 1","Serbia","Defender Left Centre","Left","78","39","73",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","18 December 1993","1","Nikola Stanković","Short","177","Super League 1","Serbia","Defender Left","Left","79","88","72",NULL,"GREECE"
30,"Pace","Flair","Work Rate","Saving Penalties","Positioning","Movement","Creativity","Determination","Strength","Corners","AE Larissa","22 November 1989","1","Gabriel Andrei Torje","Short","167","Super League 1","Romania","Attacking Midfielder Right Left Centre","Right","82",NULL,"64",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","29 October 2000","1","Konstantinos Stamoulis","Short","173","Super League 1","Greece","Defender Right","Right","67","31","64",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","28 July 1992","1","Radomir Milosavljević","Short","183","Super League 1","Serbia","Midfielder Centre","Both","79","8","73",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","28 July 1992","1","Victor Klonaridis","Short","178","Super League 1","Belgium","Attacking Midfielder Right Left Centre","Right","82","17","70",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","16 June 2000","1","Alexandros Chalatsis","Short","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","65","85","70",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","19 June 1989","1","Ögmundur Kristinsson","Short","190","Super League 1","Iceland","Goalkeeper","Right","82","1","87",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","3 February 1988","1","Abiola Adedeji Dauda","Short","180","Super League 1","Nigeria","Forward Centre","Right","80","9","72",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","19 September 1983","1","Borivoje Ristić","Short","188","Super League 1","Serbia","Goalkeeper","Both","77","99","81",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","4 March 1992","1","Nikolaos Karanikas","Short","176","Super League 1","Greece","Defender Right","Right","79","20","70",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","27 May 1994","1","Gergely Nagy","Short","187","Super League 1","Hungary","Goalkeeper","Left","76",NULL,"83",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","1 September 2001","1","Dimitris Pinakas","Short","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","65","29","70",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","5 April 1993","1","Bruno Araújo Chalkiadakis","Short","181","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","77","12","74",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","22 May 1999","1","Anel Šabanadžović","Short","179","Super League 1","Bosnia & Herzegovina","Defensive Midfielder Centre","Right","78","44","75",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","27 September 1993","1","Nikolaos Golias","Short","184","Super League 1","Greece","Defender Centre","Left","78","14","74",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","18 August 1986","1","Alexis Michail","Short","183","Super League 1","Greece","Defender Left Centre","Left","80","5","79",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","10 April 1991","1","Evripidis Giakos","Cropped","192","Super League 1","Greece","Midfielder Centre","Right","80","10","80",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","13 May 1989","1","Manolis Bertos","Short","180","Super League 1","Greece","Defender Right Left","Right","78","25","69",NULL,"GREECE"
38,"Positioning","Work Rate","Strength","Pace","Movement","Creativity","Determination","Corners","Flair","Stamina","AE Larissa","26 August 1981","1","Vangelis Moras","Short","193","Super League 1","Greece","Defender Centre","Right","80","18","78",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiacos","24 August 1996","1","Giannis Masouras","Unknown","180","Super League 1","Greece","Defender Right","Right","80","31","65",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","17 September 1993","1","Amr Warda","Afro","175","Super League 1","Egypt","Attacking Midfielder Right Left Centre","Right","83","7","70",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","1 February 1992","1","Aly Ahmed Aly Mohamed","Short","189","Super League 1","Egypt","Defender Centre","Right","82",NULL,"84",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","15 December 1992","1","Slavko Bralić","Short","185","Super League 1","Croatia","Defender Centre","Right","79","28","77",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","8 August 1992","1","Jean Luc Gbayara Assoubre","Short","180","Super League 1","Ivory Coast","Attacking Midfielder Right Left","Right","80","23","72",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","1 December 1991","1","Adnan Šećerović","Cropped","180","Super League 1","Bosnia & Herzegovina","Defensive Midfielder Centre","Both","79","22","74",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","4 January 2001","1","Stefanos Souloukos","Cropped","183","Super League 1","Greece","Goalkeeper","Right","75","67","75",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","29 April 1995","1","Mateo Mužek","Unknown","183","Super League 1","Croatia","Defender Left Centre","Left","78",NULL,"79",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","8 July 1993","1","Ergys Kaçe","Short","175","Super League 1","Albania","Defensive Midfielder Centre","Right","82","26","67",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"APOEL","18 November 1994","1","Ghayas Zahid","Cropped","177","Super League 1","Norway","Midfielder Centre","Right","83","10","66",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","6 September 1993","1","Panagiotis Ballas","Short","182","Super League 1","Greece","Defensive Midfielder Centre","Right","78","6","72",NULL,"GREECE"
26,"Positioning","Passing","Dribbling","Creativity","Tackling","Corners","Strength","Work Rate","Movement","Flair","Panathinaikos","6 March 1994","1","Yassin Ayoub","Short","175","Super League 1","Morocco","Defensive Midfielder Centre","Left","86",NULL,"70",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","15 October 1992","1","Evgeni Shikavka","Short","185","Super League 1","Belarus","Forward Centre","Right","79","17","80",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","19 November 1995","1","João Aniceto Grandela Nunes","Short","186","Super League 1","Portugal","Defender Centre","Right","82","30","73",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","5 November 1996","1","Gertin Hoxhalli","Short","175","Super League 1","Albania","Attacking Midfielder Right Left Centre","Right","75","21","70",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","5 February 1999","1","Mitchell Whalley","Short","176","Super League 1","Australia","Attacking Midfielder Right Left","Right","65","2","70",NULL,"GREECE"
28,"Tackling","Pace","Strength","Corners","Work Rate","Positioning","Determination","Movement","Flair","Creativity","Panathinaikos","28 August 1991","1","Bart Schenkeveld","Cropped","184","Super League 1","Netherlands","Defender Right Centre","Right","82","5","80",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panionios","11 August 1999","1","Filippos Selkos","Short","186","Super League 1","Greece","Midfielder Centre","Both","70","36","73",NULL,"GREECE"
28,"Passing","Aerial Ability","Control","Aggression","Long Shots","Creativity","Work Rate","Dribbling","Finishing","Pace","Panathinaikos","22 August 1991","1","Federico Macheda","Cropped","185","Super League 1","Italy","Forward Centre","Right","83","9","77",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","26 November 2001","1","Sotiris Polykarpos Alexandropoulos","Short","182","Super League 1","Greece","Defensive Midfielder Centre","Right","65","55","73",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Larissa","29 June 1994","1","Jonathan Ezequiel Bustos","Cropped","174","Super League 1","Argentina","Attacking Midfielder Right Left Centre","Left","77","32","65",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","14 March 2001","1","Dimitris Serpezis","Cropped","182","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","65","58","69",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","12 September 2001","1","Giorgos Vagiannidis","Short","182","Super League 1","Greece","Defender Right","Right","70","57","68",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","4 May 2001","1","Vasilis Zagaritis","Cropped","178","Super League 1","Greece","Defender Left","Left","65","47","68",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","3 January 2000","1","Nikolaos Christogeorgos","Cropped","190","Super League 1","Greece","Goalkeeper","Right","65","71","77",NULL,"GREECE"
21,"Creativity","Control","Movement","Positioning","Flair","Pace","Aggression","Composure","Long Shots","Dribbling","Panathinaikos","6 May 1999","1","Argyris Kampetsis","Cropped","186","Super League 1","Greece","Attacking Midfielder Centre","Right","78","99","80",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Legia Warszawa","8 May 1995","1","Nagy Dominik Adrián","Short","174","Super League 1","Hungary","Midfielder Centre","Left","83",NULL,"77",NULL,"GREECE"
18,"Control","Aggression","Creativity","Work Rate","Pace","Passing","Composure","Crossing","Dribbling","Long Passing","Panathinaikos","27 November 2001","1","Andreas Athanasakopoulos","Short","178","Super League 1","Greece","Midfielder Centre","Right","70","37","72",NULL,"GREECE"
21,"Concentration","Control","Work Rate","Pace","Stamina","Strength","Tackling","Composure","Passing","Crossing","Panathinaikos","6 July 1998","1","Vangelis Theocharis","Short","181","Super League 1","Greece","Defender Right Centre","Right","70","23","70",NULL,"GREECE"
21,"Pace","Passing","Control","Aggression","Strength","Creativity","Long Shots","Crossing","Dribbling","Movement","Panathinaikos","5 August 1998","1","Panagiotis Armenakas","Short","179","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","70","33","73",NULL,"GREECE"
22,"Creativity","Concentration","Pace","Leadership","Stamina","Control","Composure","Finishing","Long Shots","Dribbling","Panathinaikos","27 March 1998","1","Giannis Bouzoukis","Cropped","172","Super League 1","Greece","Attacking Midfielder Right Left Centre","Left","80","18","67",NULL,"GREECE"
21,"Concentration","Aggression","Creativity","Work Rate","Stamina","Pace","Passing","Composure","Long Passing","Crossing","APOEL","28 May 1999","1","Konstantinos Apostolakis","Short","178","Super League 1","Greece","Defender Right","Right","73","16","74",NULL,"GREECE"
27,"Handling","Distribution","Command of Area","One on Ones","Shot Stopping","Pace","Positioning","Concentration","Aerial Ability","Composure","Panathinaikos","3 February 1993","1","Sokratis Dioudis","Cropped","189","Super League 1","Greece","Goalkeeper","Right","82","1","75",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","9 October 1994","1","Christos Donis","Short","184","Super League 1","Greece","Defensive Midfielder Centre","Both","82","8","75",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","20 May 1998","1","Vasilis Xenopoulos","Short","185","Super League 1","Greece","Goalkeeper","Right","70","15","85",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","16 October 1991","1","Dimitris Kolovetsios","Short","182","Super League 1","Greece","Defender Centre","Right","83","4","75",NULL,"GREECE"
22,"Movement","Tackling","Pace","Aggression","Strength","Concentration","Stamina","Crossing","Long Passing","Long Shots","Panathinaikos","5 November 1997","1","Ilias Chatzitheodoridis","Cropped","175","Super League 1","Greece","Defender Left","Left","76","12","70",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","12 June 1990","1","Carlos Daniel López Huesca","Short","176","Super League 1","Spain","Attacking Midfielder Right Left","Right","83",NULL,"70",NULL,"GREECE"
24,"Concentration","Aerial Ability","Positioning","Pace","Stamina","Strength","Tackling","Composure","Long Passing","Marking","Panathinaikos","13 December 1995","1","Achilleas Poungouras","Short","187","Super League 1","Greece","Defender Left Centre","Left","78","44","77",NULL,"GREECE"
27,"Passing","Concentration","Control","Aggression","Pace","Long Shots","Movement","Dribbling","Finishing","Work Rate","Panathinaikos","27 April 1993","1","Dimitris Kolovos","Cropped","182","Super League 1","Greece","Attacking Midfielder Right Left Centre","Both","82","7","77",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","25 July 1996","1","Konstantinos Kotsaris","Short","185","Super League 1","Greece","Goalkeeper","Right","77","27","75",NULL,"GREECE"
22,"Aggression","Control","Creativity","Penalties","Passing","Composure","Long Passing","Crossing","Long Shots","Dribbling","Panathinaikos","31 May 1997","1","Anastasios Chatzigiovanis","Cropped","175","Super League 1","Greece","Attacking Midfielder Right Left","Both","82","11","62",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","13 January 1993","1","Uffe Manich Bech","Cropped","170","Super League 1","Denmark","Attacking Midfielder Right Left Centre","Left","80","17","75",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panionios","4 April 1988","1","Novica Maksimović","Short","180","Super League 1","Serbia","Defensive Midfielder Centre","Left","80","8","72",NULL,"GREECE"
25,"Creativity","Passing","Movement","Pace","Flair","Marking","Composure","Dribbling","Long Shots","Finishing","Real Valladolid","15 January 1995","1","Anuar Mohamed Tuhami","Short","172","Super League 1","Spain","Midfielder Centre","Right","83",NULL,"63",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panionios","24 June 1997","1","Sebastian Chruściel","Short","190","Super League 1","Poland","Defender Centre","Right","73","33","77",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","23 February 2000","1","Juan José Perea Mendoza","Cropped","184","Super League 1","Colombia","Forward Centre","Right","73","19","74",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","10 April 1991","1","Emanuel Mariano Insúa","Short","181","Super League 1","Argentina","Defender Left","Left","83","3","82",NULL,"GREECE"
